Student_ID,Study_Hours_Per_Week,Attendance_Rate,Assignments_Completed,Exam_Score,Forum_Participation,Library_Usage,Past_Failures
STU11500,14.884642858478554,69.59175004309542,52.033911987635264,69.20244415291894,8,3,1
STU06476,14.630912055184332,77.5107160681843,65.20199340338348,68.81889289033909,8,7,0
STU13168,6.721449193385778,75.0,40.03620754039341,41.2426268233862,0,4,2
STU00863,22.926865497140685,92.01447812030229,96.39746549032208,100.0,13,13,0
STU05971,11.363936606026606,80.62979366455177,46.678288991410255,82.0700363152859,11,7,0
STU06707,8.564610593646705,57.96479495100013,42.90592511858371,87.68871305468886,7,16,0
STU03018,31.724798330870744,93.15987311458044,99.6373345282351,97.53193913718563,16,19,0
STU03782,18.873796240476555,70.16114794137488,68.97588372851199,69.92581287565424,12,1,1
STU03899,12.924369295139963,79.46229379108931,63.33078666410718,81.04922012022404,8,10,1
STU02251,27.154230025848733,95.70962658084458,98.13650151591762,93.22790203290565,23,33,0
STU00543,28.19330084321551,98.17435497526145,94.94095872167769,90.88853651878966,15,20,0
STU04352,16.1308256174083,71.04029673185374,56.26464707753164,60.18117812934648,8,9,0
STU12808,9.221995277154427,59.540158679498745,21.48409775606616,47.765152460919154,0,4,1
STU06632,14.810436305036383,63.9356256956562,74.28591261499848,73.61251030175661,8,10,0
STU06706,11.433594797393583,82.69208456983209,71.38554647777495,63.2959033918755,4,6,0
STU06979,16.554356009468563,68.9736724002599,68.72903909891785,72.89576699086574,4,10,1
STU07400,14.265868337344578,68.21919662391653,53.380944697863406,57.67794313942916,3,9,0
STU11120,16.62954334093718,86.0062186410386,61.928277341142085,79.57216999309877,0,17,0
STU12666,5.0626360973948845,45.58279799121118,38.67333983607409,30.365621858906263,0,2,0
STU05305,17.037218285347684,72.02411392725064,65.5934679468341,80.5506915850781,13,17,1
STU02313,32.29580497094346,94.37792969391799,93.03557314037955,88.54490130284387,8,25,0
STU07041,12.903438409719957,88.20616184248918,84.07099083645775,68.46696416906568,8,14,1
STU01890,17.87514414092294,92.0766423571691,93.83658112859402,85.65381820917924,30,28,0
STU08992,17.40834160796938,77.18352691253669,68.41280324385264,55.80771236538058,5,5,0
STU00170,33.67981901582625,95.59373235038794,86.78865597108441,87.09668499567407,18,27,0
STU01796,31.187322958667693,99.73502803249185,99.02923880144303,98.09215919187307,29,26,0
STU03976,8.895709272117717,75.04892853606755,76.0607047359635,74.30413886048511,7,15,0
STU06821,12.10634849534165,80.83395560374669,84.08723849425803,57.25744108923562,10,10,1
STU07827,15.436526392411542,81.56975468012674,66.80644530996318,59.215738590719376,1,9,1
STU11810,10.608216113096805,77.6417840015643,52.18573517556867,74.86834564462569,7,9,0
STU01040,23.891092981419323,97.90810790722416,86.94877955546754,90.3151582092919,16,27,0
STU02849,30.642970337392903,86.72643911135789,76.12697546593913,93.16398047688403,22,21,0
STU03372,21.55995592577581,94.08170182000674,87.35491776197836,95.40826029857351,19,17,0
STU08830,13.08957434001731,74.81930006670649,61.5504650766924,53.762786356559964,6,12,0
STU10350,18.28858677739994,57.61853399166266,66.1977939294235,66.99363220511674,4,10,0
STU08798,18.479465404646,68.30750274422134,63.48815316112878,72.07620114959477,5,13,0
STU00765,24.058693324568466,98.57933883755308,100.0,95.51348912794998,17,18,0
STU01594,22.126990709083046,93.99266414677874,89.46317733940828,85.17939435497246,22,33,0
STU14233,9.34741211512367,53.83922855091423,35.427171386123455,38.159157477388874,0,0,0
STU05873,12.033460345656618,88.80766377408294,50.66493111019932,76.18340402682156,11,12,0
STU09941,11.11468940225697,79.75845105631485,62.97358960169336,73.23790275283746,9,8,0
STU05170,16.752613574322467,73.33773767691329,54.44536138575303,65.29133861172113,9,16,0
STU10910,19.15118668702164,81.53862742065975,74.97985031978814,59.73010385236634,5,17,0
STU04123,12.702792458719188,75.60398407199523,75.21363234899671,75.28970483036301,5,11,0
STU12949,8.866431253438588,41.641245282387516,23.650784912005392,51.30586748401842,0,1,1
STU14483,10.00728137483248,53.61467642747536,34.320453928820626,38.997452890979595,0,0,1
STU00150,31.910794955187637,96.94612966276893,90.66305535746517,90.88028211859994,26,20,0
STU11737,17.76035918658973,91.57678740556076,68.0538213842699,76.62972060290367,9,12,0
STU00388,27.28886433075943,100.0,91.95523184936762,94.01244993355508,14,22,0
STU03947,19.694524727274054,59.476558195933116,59.32136852748585,68.1889648193172,4,6,0
STU13403,0.0,55.24403233681679,37.781445879278785,31.9842792510091,4,1,2
STU01374,33.07936245061157,92.10532009944085,93.70259518935976,89.93788626055358,19,33,0
STU02885,30.560745314032992,97.5707158115153,87.40165418227747,97.67768471506649,27,24,0
STU14043,5.7641086236510874,38.054048410400654,41.493486734372205,55.36039680440474,4,8,1
STU11361,15.357689928946115,70.38221148158361,80.20102684052029,74.08967747484131,9,18,0
STU02992,26.248680339319062,93.70716859854431,86.4237482450811,91.7090381721327,25,27,0
STU11596,17.677055335742075,76.93993867714562,68.44321755480266,64.82262135197777,9,11,0
STU10582,14.094498896277878,75.15053645912455,58.42817907107062,64.54842092848915,9,8,0
STU14868,6.31020610537545,62.91418968645297,30.5377322265566,57.07712836189783,2,2,1
STU14425,0.897252713930639,40.15347677572446,45.47390313435493,32.637414802931914,0,4,1
STU03025,37.94694858694524,95.4340583915751,96.60954200262738,98.39942064701735,26,28,0
STU00252,28.481937237283578,97.86591562571154,92.70725509033478,98.86518048633157,14,23,0
STU12147,7.22899321948403,47.00246226586058,35.1752339444582,52.530040792044645,7,4,2
STU11439,17.165394456153034,80.21268148745023,53.337200164488436,65.66754357734214,16,9,1
